similarity,sentence1,sentence2
negative,תגיד לי איזה פעולות אתה יודע לבצע?,האם עשית משהו מעניין היום?
negative,תגידי לי איזה פעולות את יודעת לבצע?,האם עשית משהו מעניין היום?
negative,תגיד לי איזו פעולות אתה יודע לבצע?,האם עשית משהו מעניין היום?
negative,תגידי לי איזו פעולות את יודעת לבצע?,האם עשית משהו מעניין היום?
negative,תגיד לי מה הפעולות שאתה תומך בהן?,האם עשית משהו מעניין היום?
negative,תגידי לי מה הפעולות שאת תומכת בהן?,האם עשית משהו מעניין היום?
negative,תגיד לי איזה פעולות נתמכות על ידך?,האם עשית משהו מעניין היום?
negative,תגידי לי איזה פעולות נתמכות על ידך?,האם עשית משהו מעניין היום?
negative,תגיד לי איזו פעולות נתמכות על ידך?,האם עשית משהו מעניין היום?
negative,תגידי לי איזו פעולות נתמכות על ידך?,האם עשית משהו מעניין היום?
negative,תגיד לי מה הביצועים שאתה תומך בהן?,האם עשית משהו מעניין היום?
negative,תגידי לי מה הביצועים שאת תומכת בהן?,האם עשית משהו מעניין היום?
negative,תגיד לי איזה ביצועים נתמכות על ידך?,האם עשית משהו מעניין היום?
negative,תגיד לי איזו ביצועים נתמכות על ידך?,האם עשית משהו מעניין היום?
negative,תגידי לי איזה ביצועים נתמכות על ידך?,האם עשית משהו מעניין היום?
negative,תגידי לי איזו ביצועים נתמכות על ידך?,האם עשית משהו מעניין היום?
negative,תאמר לי מה אתה יודע לעשות,האם עשית משהו מעניין היום?
negative,תאמרי לי מה את יודעת לעשות,האם עשית משהו מעניין היום?
negative,תאמר לי מה הפעולות שאתה יודע לעשות?,האם עשית משהו מעניין היום?
negative,תאמרי לי מה הפעולות שאת יודעת לעשות?,האם עשית משהו מעניין היום?
negative,תאמר לי מה אתה יודע לבצע,האם עשית משהו מעניין היום?
negative,תאמרי לי מה את יודעת לבצע,האם עשית משהו מעניין היום?
negative,תאמר לי מה הפעולות שאתה יודע לבצע?,האם עשית משהו מעניין היום?
negative,תאמרי לי מה הפעולות שאת יודעת לבצע?,האם עשית משהו מעניין היום?
negative,תאמר לי איזה פעולות אתה יודע לבצע?,האם עשית משהו מעניין היום?
negative,תאמרי לי איזה פעולות את יודעת לבצע?,האם עשית משהו מעניין היום?
negative,תאמר לי איזו פעולות אתה יודע לבצע?,האם עשית משהו מעניין היום?
negative,תאמרי לי איזו פעולות את יודעת לבצע?,האם עשית משהו מעניין היום?
negative,תאמר לי מה הפעולות שאתה תומך בהן?,האם עשית משהו מעניין היום?
negative,תאמרי לי מה הפעולות שאת תומכת בהן?,האם עשית משהו מעניין היום?
negative,תאמר לי איזה פעולות נתמכות על ידך?,האם עשית משהו מעניין היום?
negative,תאמרי לי איזה פעולות נתמכות על ידך?,האם עשית משהו מעניין היום?
negative,תאמר לי איזו פעולות נתמכות על ידך?,האם עשית משהו מעניין היום?
negative,תאמרי לי איזו פעולות נתמכות על ידך?,האם עשית משהו מעניין היום?
negative,תאמר לי מה הביצועים שאתה תומך בהן?,האם עשית משהו מעניין היום?
negative,תאמרי לי מה הביצועים שאת תומכת בהן?,האם עשית משהו מעניין היום?
negative,תאמר לי איזה ביצועים נתמכות על ידך?,האם עשית משהו מעניין היום?
negative,תאמר לי איזו ביצועים נתמכות על ידך?,האם עשית משהו מעניין היום?
negative,תאמרי לי איזה ביצועים נתמכות על ידך?,האם עשית משהו מעניין היום?
negative,תאמר לי איזו ביצועים נתמכות על ידך?,האם עשית משהו מעניין היום?
negative,תאמרי לי איזו ביצועים נתמכות על ידך?,האם עשית משהו מעניין היום?
negative,תומרי לי מה את יודעת לעשות,האם עשית משהו מעניין היום?
negative,תומר לי מה הפעולות שאתה יודע לעשות?,האם עשית משהו מעניין היום?
negative,תומרי לי מה הפעולות שאת יודעת לעשות?,האם עשית משהו מעניין היום?
negative,תומר לי מה אתה יודע לבצע,האם עשית משהו מעניין היום?
negative,תומרי לי מה את יודעת לבצע,האם עשית משהו מעניין היום?
negative,תומר לי מה הפעולות שאתה יודע לבצע?,האם עשית משהו מעניין היום?
negative,תומרי לי מה הפעולות שאת יודעת לבצע?,האם עשית משהו מעניין היום?
negative,תומר לי איזה פעולות אתה יודע לבצע?,האם עשית משהו מעניין היום?
negative,תומרי לי איזה פעולות את יודעת לבצע?,האם עשית משהו מעניין היום?
negative,תומר לי איזו פעולות אתה יודע לבצע?,האם עשית משהו מעניין היום?
negative,תומרי לי איזו פעולות את יודעת לבצע?,האם עשית משהו מעניין היום?
negative,תומר לי מה הפעולות שאתה תומך בהן?,האם עשית משהו מעניין היום?
negative,תומרי לי מה הפעולות שאת תומכת בהן?,האם עשית משהו מעניין היום?
negative,תומר לי איזה פעולות נתמכות על ידך?,האם עשית משהו מעניין היום?
negative,תומרי לי איזה פעולות נתמכות על ידך?,האם עשית משהו מעניין היום?
negative,תומר לי איזו פעולות נתמכות על ידך?,האם עשית משהו מעניין היום?
negative,תומרי לי איזו פעולות נתמכות על ידך?,האם עשית משהו מעניין היום?
negative,תומר לי מה הביצועים שאתה תומך בהן?,האם עשית משהו מעניין היום?
negative,תומרי לי מה הביצועים שאת תומכת בהן?,האם עשית משהו מעניין היום?
negative,תומר לי איזה ביצועים נתמכות על ידך?,האם עשית משהו מעניין היום?
negative,תומר לי איזו ביצועים נתמכות על ידך?,האם עשית משהו מעניין היום?
negative,תומרי לי איזה ביצועים נתמכות על ידך?,האם עשית משהו מעניין היום?
negative,תומר לי איזו ביצועים נתמכות על ידך?,האם עשית משהו מעניין היום?
negative,תומרי לי איזו ביצועים נתמכות על ידך?,האם עשית משהו מעניין היום?
negative,מה אתה יודע לעשות?,איך אתה מרגיש? 
negative,מה את יודעת לעשות?,איך אתה מרגיש? 
negative,מה הפעולות שאתה יודע לעשות?,איך אתה מרגיש? 
negative,מה הפעולות שאת יודעת לעשות?,איך אתה מרגיש? 
negative,מה אתה יודע לבצע?,איך אתה מרגיש? 
negative,מה את יודעת לבצע?,איך אתה מרגיש? 
negative,מה הפעולות שאתה יודע לבצע?,איך אתה מרגיש? 
negative,מה הפעולות שאת יודעת לבצע?,איך אתה מרגיש? 
negative,איזה פעולות אתה יודע לבצע?,איך אתה מרגיש? 
negative,איזה פעולות את יודעת לבצע?,איך אתה מרגיש? 
negative,איזו פעולות אתה יודע לבצע?,איך אתה מרגיש? 
negative,איזו פעולות את יודעת לבצע?,איך אתה מרגיש? 
negative,מה הפעולות שאתה תומך בהן?,איך אתה מרגיש? 
negative,מה הפעולות שאת תומכת בהן?,איך אתה מרגיש? 
negative,איזה פעולות נתמכות על ידך?,איך אתה מרגיש? 
negative,איזו פעולות נתמכות על ידך?,איך אתה מרגיש? 
negative,מה הביצועים שאתה תומך בהן?,איך אתה מרגיש? 
negative,מה הביצועים שאת תומכת בהן?,איך אתה מרגיש? 
negative,איזה ביצועים נתמכות על ידך?,איך אתה מרגיש? 
negative,איזו ביצועים נתמכות על ידך?,איך אתה מרגיש? 
negative,תגיד לי מה אתה יודע לעשות,איך אתה מרגיש? 
negative,תגידי לי מה את יודעת לעשות,איך אתה מרגיש? 
negative,תגיד לי מה הפעולות שאתה יודע לעשות?,איך אתה מרגיש? 
negative,תגידי לי מה הפעולות שאת יודעת לעשות?,איך אתה מרגיש? 
negative,תגיד לי מה אתה יודע לבצע,איך אתה מרגיש? 
negative,תגידי לי מה את יודעת לבצע,איך אתה מרגיש? 
negative,תגיד לי מה הפעולות שאתה יודע לבצע?,איך אתה מרגיש? 
negative,תגידי לי מה הפעולות שאת יודעת לבצע?,איך אתה מרגיש? 
negative,תגיד לי איזה פעולות אתה יודע לבצע?,איך אתה מרגיש? 
negative,תגידי לי איזה פעולות את יודעת לבצע?,איך אתה מרגיש? 
negative,תגיד לי איזו פעולות אתה יודע לבצע?,איך אתה מרגיש? 
negative,תגידי לי איזו פעולות את יודעת לבצע?,איך אתה מרגיש? 
negative,תגיד לי מה הפעולות שאתה תומך בהן?,איך אתה מרגיש? 
negative,תגידי לי מה הפעולות שאת תומכת בהן?,איך אתה מרגיש? 
negative,תגיד לי איזה פעולות נתמכות על ידך?,איך אתה מרגיש? 
negative,תגידי לי איזה פעולות נתמכות על ידך?,איך אתה מרגיש? 
negative,תגיד לי איזו פעולות נתמכות על ידך?,איך אתה מרגיש? 
negative,תגידי לי איזו פעולות נתמכות על ידך?,איך אתה מרגיש? 
negative,תגיד לי מה הביצועים שאתה תומך בהן?,איך אתה מרגיש? 
negative,תגידי לי מה הביצועים שאת תומכת בהן?,איך אתה מרגיש? 
negative,תגיד לי איזה ביצועים נתמכות על ידך?,איך אתה מרגיש? 
negative,תגיד לי איזו ביצועים נתמכות על ידך?,איך אתה מרגיש? 
negative,תגידי לי איזה ביצועים נתמכות על ידך?,איך אתה מרגיש? 
negative,תגידי לי איזו ביצועים נתמכות על ידך?,איך אתה מרגיש? 
negative,תאמר לי מה אתה יודע לעשות,איך אתה מרגיש? 
negative,תאמרי לי מה את יודעת לעשות,איך אתה מרגיש? 
negative,תאמר לי מה הפעולות שאתה יודע לעשות?,איך אתה מרגיש? 
negative,תאמרי לי מה הפעולות שאת יודעת לעשות?,איך אתה מרגיש? 
negative,תאמר לי מה אתה יודע לבצע,איך אתה מרגיש? 
negative,תאמרי לי מה את יודעת לבצע,איך אתה מרגיש? 
negative,תאמר לי מה הפעולות שאתה יודע לבצע?,איך אתה מרגיש? 
negative,תאמרי לי מה הפעולות שאת יודעת לבצע?,איך אתה מרגיש? 
negative,תאמר לי איזה פעולות אתה יודע לבצע?,איך אתה מרגיש? 
negative,תאמרי לי איזה פעולות את יודעת לבצע?,איך אתה מרגיש? 
negative,תאמר לי איזו פעולות אתה יודע לבצע?,איך אתה מרגיש? 
negative,תאמרי לי איזו פעולות את יודעת לבצע?,איך אתה מרגיש? 
negative,תאמר לי מה הפעולות שאתה תומך בהן?,איך אתה מרגיש? 
negative,תאמרי לי מה הפעולות שאת תומכת בהן?,איך אתה מרגיש? 
negative,תאמר לי איזה פעולות נתמכות על ידך?,איך אתה מרגיש? 
negative,תאמרי לי איזה פעולות נתמכות על ידך?,איך אתה מרגיש? 
negative,תאמר לי איזו פעולות נתמכות על ידך?,איך אתה מרגיש? 
negative,תאמרי לי איזו פעולות נתמכות על ידך?,איך אתה מרגיש? 
negative,תאמר לי מה הביצועים שאתה תומך בהן?,איך אתה מרגיש? 
negative,תאמרי לי מה הביצועים שאת תומכת בהן?,איך אתה מרגיש? 
negative,תאמר לי איזה ביצועים נתמכות על ידך?,איך אתה מרגיש? 
negative,תאמר לי איזו ביצועים נתמכות על ידך?,איך אתה מרגיש? 
negative,תאמרי לי איזה ביצועים נתמכות על ידך?,איך אתה מרגיש? 
negative,תאמר לי איזו ביצועים נתמכות על ידך?,איך אתה מרגיש? 
negative,תאמרי לי איזו ביצועים נתמכות על ידך?,איך אתה מרגיש? 
negative,תומרי לי מה את יודעת לעשות,איך אתה מרגיש? 
negative,תומר לי מה הפעולות שאתה יודע לעשות?,איך אתה מרגיש? 
negative,תומרי לי מה הפעולות שאת יודעת לעשות?,איך אתה מרגיש? 
negative,תומר לי מה אתה יודע לבצע,איך אתה מרגיש? 
negative,תומרי לי מה את יודעת לבצע,איך אתה מרגיש? 
negative,תומר לי מה הפעולות שאתה יודע לבצע?,איך אתה מרגיש? 
negative,תומרי לי מה הפעולות שאת יודעת לבצע?,איך אתה מרגיש? 
negative,תומר לי איזה פעולות אתה יודע לבצע?,איך אתה מרגיש? 
negative,תומרי לי איזה פעולות את יודעת לבצע?,איך אתה מרגיש? 
negative,תומר לי איזו פעולות אתה יודע לבצע?,איך אתה מרגיש? 
negative,תומרי לי איזו פעולות את יודעת לבצע?,איך אתה מרגיש? 
negative,תומר לי מה הפעולות שאתה תומך בהן?,איך אתה מרגיש? 
negative,תומרי לי מה הפעולות שאת תומכת בהן?,איך אתה מרגיש? 
negative,תומר לי איזה פעולות נתמכות על ידך?,איך אתה מרגיש? 
negative,תומרי לי איזה פעולות נתמכות על ידך?,איך אתה מרגיש? 
negative,תומר לי איזו פעולות נתמכות על ידך?,איך אתה מרגיש? 
negative,תומרי לי איזו פעולות נתמכות על ידך?,איך אתה מרגיש? 
negative,תומר לי מה הביצועים שאתה תומך בהן?,איך אתה מרגיש? 
negative,תומרי לי מה הביצועים שאת תומכת בהן?,איך אתה מרגיש? 
negative,תומר לי איזה ביצועים נתמכות על ידך?,איך אתה מרגיש? 
negative,תומר לי איזו ביצועים נתמכות על ידך?,איך אתה מרגיש? 
negative,תומרי לי איזה ביצועים נתמכות על ידך?,איך אתה מרגיש? 
negative,תומר לי איזו ביצועים נתמכות על ידך?,איך אתה מרגיש? 
negative,תומרי לי איזו ביצועים נתמכות על ידך?,איך אתה מרגיש? 
negative,מה אתה יודע לעשות?,מה קרה לך?
negative,מה את יודעת לעשות?,מה קרה לך?
negative,מה הפעולות שאתה יודע לעשות?,מה קרה לך?
negative,מה הפעולות שאת יודעת לעשות?,מה קרה לך?
negative,מה אתה יודע לבצע?,מה קרה לך?
negative,מה את יודעת לבצע?,מה קרה לך?
negative,מה הפעולות שאתה יודע לבצע?,מה קרה לך?
negative,מה הפעולות שאת יודעת לבצע?,מה קרה לך?
negative,איזה פעולות אתה יודע לבצע?,מה קרה לך?
negative,איזה פעולות את יודעת לבצע?,מה קרה לך?
negative,איזו פעולות אתה יודע לבצע?,מה קרה לך?
negative,איזו פעולות את יודעת לבצע?,מה קרה לך?
negative,מה הפעולות שאתה תומך בהן?,מה קרה לך?
negative,מה הפעולות שאת תומכת בהן?,מה קרה לך?
negative,איזה פעולות נתמכות על ידך?,מה קרה לך?
negative,איזו פעולות נתמכות על ידך?,מה קרה לך?
negative,מה הביצועים שאתה תומך בהן?,מה קרה לך?
negative,מה הביצועים שאת תומכת בהן?,מה קרה לך?
negative,איזה ביצועים נתמכות על ידך?,מה קרה לך?
negative,איזו ביצועים נתמכות על ידך?,מה קרה לך?
negative,תגיד לי מה אתה יודע לעשות,מה קרה לך?
negative,תגידי לי מה את יודעת לעשות,מה קרה לך?
negative,תגיד לי מה הפעולות שאתה יודע לעשות?,מה קרה לך?
negative,תגידי לי מה הפעולות שאת יודעת לעשות?,מה קרה לך?
negative,תגיד לי מה אתה יודע לבצע,מה קרה לך?
negative,תגידי לי מה את יודעת לבצע,מה קרה לך?
negative,תגיד לי מה הפעולות שאתה יודע לבצע?,מה קרה לך?
negative,תגידי לי מה הפעולות שאת יודעת לבצע?,מה קרה לך?
negative,תגיד לי איזה פעולות אתה יודע לבצע?,מה קרה לך?
negative,תגידי לי איזה פעולות את יודעת לבצע?,מה קרה לך?
negative,תגיד לי איזו פעולות אתה יודע לבצע?,מה קרה לך?
negative,תגידי לי איזו פעולות את יודעת לבצע?,מה קרה לך?
negative,תגיד לי מה הפעולות שאתה תומך בהן?,מה קרה לך?
negative,תגידי לי מה הפעולות שאת תומכת בהן?,מה קרה לך?
negative,תגיד לי איזה פעולות נתמכות על ידך?,מה קרה לך?
negative,תגידי לי איזה פעולות נתמכות על ידך?,מה קרה לך?
negative,תגיד לי איזו פעולות נתמכות על ידך?,מה קרה לך?
negative,תגידי לי איזו פעולות נתמכות על ידך?,מה קרה לך?
negative,תגיד לי מה הביצועים שאתה תומך בהן?,מה קרה לך?
negative,תגידי לי מה הביצועים שאת תומכת בהן?,מה קרה לך?
negative,תגיד לי איזה ביצועים נתמכות על ידך?,מה קרה לך?
negative,תגיד לי איזו ביצועים נתמכות על ידך?,מה קרה לך?
negative,תגידי לי איזה ביצועים נתמכות על ידך?,מה קרה לך?
negative,תגידי לי איזו ביצועים נתמכות על ידך?,מה קרה לך?
negative,תאמר לי מה אתה יודע לעשות,מה קרה לך?
negative,תאמרי לי מה את יודעת לעשות,מה קרה לך?
negative,תאמר לי מה הפעולות שאתה יודע לעשות?,מה קרה לך?
negative,תאמרי לי מה הפעולות שאת יודעת לעשות?,מה קרה לך?
negative,תאמר לי מה אתה יודע לבצע,מה קרה לך?
negative,תאמרי לי מה את יודעת לבצע,מה קרה לך?
negative,תאמר לי מה הפעולות שאתה יודע לבצע?,מה קרה לך?
negative,תאמרי לי מה הפעולות שאת יודעת לבצע?,מה קרה לך?
negative,תאמר לי איזה פעולות אתה יודע לבצע?,מה קרה לך?
negative,תאמרי לי איזה פעולות את יודעת לבצע?,מה קרה לך?
negative,תאמר לי איזו פעולות אתה יודע לבצע?,מה קרה לך?
negative,תאמרי לי איזו פעולות את יודעת לבצע?,מה קרה לך?
negative,תאמר לי מה הפעולות שאתה תומך בהן?,מה קרה לך?
negative,תאמרי לי מה הפעולות שאת תומכת בהן?,מה קרה לך?
negative,תאמר לי איזה פעולות נתמכות על ידך?,מה קרה לך?
negative,תאמרי לי איזה פעולות נתמכות על ידך?,מה קרה לך?
negative,תאמר לי איזו פעולות נתמכות על ידך?,מה קרה לך?
negative,תאמרי לי איזו פעולות נתמכות על ידך?,מה קרה לך?
negative,תאמר לי מה הביצועים שאתה תומך בהן?,מה קרה לך?
negative,תאמרי לי מה הביצועים שאת תומכת בהן?,מה קרה לך?
negative,תאמר לי איזה ביצועים נתמכות על ידך?,מה קרה לך?
negative,תאמר לי איזו ביצועים נתמכות על ידך?,מה קרה לך?
negative,תאמרי לי איזה ביצועים נתמכות על ידך?,מה קרה לך?
negative,תאמר לי איזו ביצועים נתמכות על ידך?,מה קרה לך?
negative,תאמרי לי איזו ביצועים נתמכות על ידך?,מה קרה לך?
negative,תומרי לי מה את יודעת לעשות,מה קרה לך?
negative,תומר לי מה הפעולות שאתה יודע לעשות?,מה קרה לך?
negative,תומרי לי מה הפעולות שאת יודעת לעשות?,מה קרה לך?
negative,תומר לי מה אתה יודע לבצע,מה קרה לך?
negative,תומרי לי מה את יודעת לבצע,מה קרה לך?
negative,תומר לי מה הפעולות שאתה יודע לבצע?,מה קרה לך?
negative,תומרי לי מה הפעולות שאת יודעת לבצע?,מה קרה לך?
negative,תומר לי איזה פעולות אתה יודע לבצע?,מה קרה לך?
negative,תומרי לי איזה פעולות את יודעת לבצע?,מה קרה לך?
negative,תומר לי איזו פעולות אתה יודע לבצע?,מה קרה לך?
negative,תומרי לי איזו פעולות את יודעת לבצע?,מה קרה לך?
negative,תומר לי מה הפעולות שאתה תומך בהן?,מה קרה לך?
negative,תומרי לי מה הפעולות שאת תומכת בהן?,מה קרה לך?
negative,תומר לי איזה פעולות נתמכות על ידך?,מה קרה לך?
negative,תומרי לי איזה פעולות נתמכות על ידך?,מה קרה לך?
negative,תומר לי איזו פעולות נתמכות על ידך?,מה קרה לך?
negative,תומרי לי איזו פעולות נתמכות על ידך?,מה קרה לך?
negative,תומר לי מה הביצועים שאתה תומך בהן?,מה קרה לך?
negative,תומרי לי מה הביצועים שאת תומכת בהן?,מה קרה לך?
negative,תומר לי איזה ביצועים נתמכות על ידך?,מה קרה לך?
negative,תומר לי איזו ביצועים נתמכות על ידך?,מה קרה לך?
negative,תומרי לי איזה ביצועים נתמכות על ידך?,מה קרה לך?
negative,תומר לי איזו ביצועים נתמכות על ידך?,מה קרה לך?
negative,תומרי לי איזו ביצועים נתמכות על ידך?,מה קרה לך?
negative,האם עבדת היום?,מה שלומך היום?
negative,האם דיברת עם בני המשפחה שלך?,מה שלומך היום?
negative,האם דיברת עם חברים?,מה שלומך היום?
negative,האם דיברת עם חברות?,מה שלומך היום?
negative,האם יצאת לטייל היום?,מה שלומך היום?
negative,האם פגשת חברים?,מה שלומך היום?
negative,האם פגשת חברות?,מה שלומך היום?
negative,האם פגשת את הכנדים?,מה שלומך היום?
negative,האם פגשת את הנכדות?,מה שלומך היום?
negative,האם קראת עיתון?,מה שלומך היום?
negative,האם קראת ספר?,מה שלומך היום?
negative,האם צפית בתוכנית טלוויזיה?,מה שלומך היום?
negative,האם צפית בסרט?,מה שלומך היום?
negative,תגיד לי שמעת משהו מעניין היום?,מה שלומך היום?
negative,תגידי לי האם היה משהו מעניין היום?,מה שלומך היום?
negative,תגיד לי האם ראית משהו מעניין היום?,מה שלומך היום?
negative,תגידי לי האם ראית משהו מעניין?,מה שלומך היום?
negative,תומרי לי האם היה מעניין היום?,מה שלומך היום?
negative,תומר לי האם היה מעניין היום?,מה שלומך היום?
negative,תאמרי לי היה לך מעניין היום?,מה שלומך היום?
negative,תאמרי לי מה תעשי היום?,מה שלומך היום?
negative,תומר לי מה תעשה היום?,מה שלומך היום?
negative,תומרי לי איך היה היום?,מה שלומך היום?
negative,תגידי לי איך היה היום?,מה שלומך היום?
negative,האם אתה חושב על משהו מעניין לעשות?,מה שלומך היום?
negative,תגידי לי האם את רוצה לעשות משהו מעניין?,מה שלומך היום?
negative,האם היית עסוקה היום?,מה שלומך היום?
negative,האם אתה עסוק היום?,מה שלומך היום?
negative,תספרי לי מה עשית היום,מה שלומך היום?
negative,תסרי לי מה עשית היום?,מה שלומך היום?
negative,האם ביקרת במקום מעניין?,מה שלומך היום?
negative,תגידי לי האם ביקרת במקום מעניין?,מה שלומך היום?
negative,אולי נעשה משהו מעניין היום?,מה שלומך היום?
negative,האם אתה מכיר משהו מעניין?,מה שלומך היום?
negative,תגיד לי האם ביקרת במקום מעניין היום?,מה שלומך היום?
negative,תספרי לי איך היה היום?,מה שלומך היום?
negative,האם עבדת היום?,מה הפעולות שאתה יודע לעשות?
negative,האם דיברת עם בני המשפחה שלך?,מה הפעולות שאתה יודע לעשות?
negative,האם דיברת עם חברים?,מה הפעולות שאתה יודע לעשות?
negative,האם דיברת עם חברות?,מה הפעולות שאתה יודע לעשות?
negative,האם יצאת לטייל היום?,מה הפעולות שאתה יודע לעשות?
negative,האם פגשת חברים?,מה הפעולות שאתה יודע לעשות?
negative,האם פגשת חברות?,מה הפעולות שאתה יודע לעשות?
negative,האם פגשת את הכנדים?,מה הפעולות שאתה יודע לעשות?
negative,האם פגשת את הנכדות?,מה הפעולות שאתה יודע לעשות?
negative,האם קראת עיתון?,מה הפעולות שאתה יודע לעשות?
negative,האם קראת ספר?,מה הפעולות שאתה יודע לעשות?
negative,האם צפית בתוכנית טלוויזיה?,מה הפעולות שאתה יודע לעשות?
negative,האם צפית בסרט?,מה הפעולות שאתה יודע לעשות?
negative,תגיד לי שמעת משהו מעניין היום?,מה הפעולות שאתה יודע לעשות?
negative,תגידי לי האם היה משהו מעניין היום?,מה הפעולות שאתה יודע לעשות?
negative,תגיד לי האם ראית משהו מעניין היום?,מה הפעולות שאתה יודע לעשות?
negative,תגידי לי האם ראית משהו מעניין?,מה הפעולות שאתה יודע לעשות?
negative,תומרי לי האם היה מעניין היום?,מה הפעולות שאתה יודע לעשות?
negative,תומר לי האם היה מעניין היום?,מה הפעולות שאתה יודע לעשות?
negative,תאמרי לי היה לך מעניין היום?,מה הפעולות שאתה יודע לעשות?
negative,תאמרי לי מה תעשי היום?,מה הפעולות שאתה יודע לעשות?
negative,תומר לי מה תעשה היום?,מה הפעולות שאתה יודע לעשות?
negative,תומרי לי איך היה היום?,מה הפעולות שאתה יודע לעשות?
negative,תגידי לי איך היה היום?,מה הפעולות שאתה יודע לעשות?
negative,האם אתה חושב על משהו מעניין לעשות?,מה הפעולות שאתה יודע לעשות?
negative,תגידי לי האם את רוצה לעשות משהו מעניין?,מה הפעולות שאתה יודע לעשות?
negative,האם היית עסוקה היום?,מה הפעולות שאתה יודע לעשות?
negative,האם אתה עסוק היום?,מה הפעולות שאתה יודע לעשות?
negative,תספרי לי מה עשית היום,מה הפעולות שאתה יודע לעשות?
negative,תסרי לי מה עשית היום?,מה הפעולות שאתה יודע לעשות?
negative,האם ביקרת במקום מעניין?,מה הפעולות שאתה יודע לעשות?
negative,תגידי לי האם ביקרת במקום מעניין?,מה הפעולות שאתה יודע לעשות?
negative,אולי נעשה משהו מעניין היום?,מה הפעולות שאתה יודע לעשות?
negative,האם אתה מכיר משהו מעניין?,מה הפעולות שאתה יודע לעשות?
negative,תגיד לי האם ביקרת במקום מעניין היום?,מה הפעולות שאתה יודע לעשות?
negative,תספרי לי איך היה היום?,מה הפעולות שאתה יודע לעשות?
negative,האם עבדת היום?,איך אתה מרגיש? 
negative,האם דיברת עם בני המשפחה שלך?,איך אתה מרגיש? 
negative,האם דיברת עם חברים?,איך אתה מרגיש? 
negative,האם דיברת עם חברות?,איך אתה מרגיש? 
negative,האם יצאת לטייל היום?,איך אתה מרגיש? 
negative,האם פגשת חברים?,איך אתה מרגיש? 
negative,האם פגשת חברות?,איך אתה מרגיש? 
negative,האם פגשת את הכנדים?,איך אתה מרגיש? 
negative,האם פגשת את הנכדות?,איך אתה מרגיש? 
negative,האם קראת עיתון?,איך אתה מרגיש? 
negative,האם קראת ספר?,איך אתה מרגיש? 
negative,האם צפית בתוכנית טלוויזיה?,איך אתה מרגיש? 
negative,האם צפית בסרט?,איך אתה מרגיש? 
negative,תגיד לי שמעת משהו מעניין היום?,איך אתה מרגיש? 
negative,תגידי לי האם היה משהו מעניין היום?,איך אתה מרגיש? 
negative,תגיד לי האם ראית משהו מעניין היום?,איך אתה מרגיש? 
negative,תגידי לי האם ראית משהו מעניין?,איך אתה מרגיש? 
negative,תומרי לי האם היה מעניין היום?,איך אתה מרגיש? 
negative,תומר לי האם היה מעניין היום?,איך אתה מרגיש? 
negative,תאמרי לי היה לך מעניין היום?,איך אתה מרגיש? 
negative,תאמרי לי מה תעשי היום?,איך אתה מרגיש? 
negative,תומר לי מה תעשה היום?,איך אתה מרגיש? 
negative,תומרי לי איך היה היום?,איך אתה מרגיש? 
negative,תגידי לי איך היה היום?,איך אתה מרגיש? 
negative,האם אתה חושב על משהו מעניין לעשות?,איך אתה מרגיש? 
negative,תגידי לי האם את רוצה לעשות משהו מעניין?,איך אתה מרגיש? 
negative,האם היית עסוקה היום?,איך אתה מרגיש? 
negative,האם אתה עסוק היום?,איך אתה מרגיש? 
negative,תספרי לי מה עשית היום,איך אתה מרגיש? 
negative,תסרי לי מה עשית היום?,איך אתה מרגיש? 
negative,האם ביקרת במקום מעניין?,איך אתה מרגיש? 
negative,תגידי לי האם ביקרת במקום מעניין?,איך אתה מרגיש? 
negative,אולי נעשה משהו מעניין היום?,איך אתה מרגיש? 
negative,האם אתה מכיר משהו מעניין?,איך אתה מרגיש? 
negative,תגיד לי האם ביקרת במקום מעניין היום?,איך אתה מרגיש? 
negative,תספרי לי איך היה היום?,איך אתה מרגיש? 
negative,האם עבדת היום?,מה קרה לך?
negative,האם דיברת עם בני המשפחה שלך?,מה קרה לך?
negative,האם דיברת עם חברים?,מה קרה לך?
negative,האם דיברת עם חברות?,מה קרה לך?
negative,האם יצאת לטייל היום?,מה קרה לך?
negative,האם פגשת חברים?,מה קרה לך?
negative,האם פגשת חברות?,מה קרה לך?
negative,האם פגשת את הכנדים?,מה קרה לך?
negative,האם פגשת את הנכדות?,מה קרה לך?
negative,האם קראת עיתון?,מה קרה לך?
negative,האם קראת ספר?,מה קרה לך?
negative,האם צפית בתוכנית טלוויזיה?,מה קרה לך?
negative,האם צפית בסרט?,מה קרה לך?
negative,תגיד לי שמעת משהו מעניין היום?,מה קרה לך?
negative,תגידי לי האם היה משהו מעניין היום?,מה קרה לך?
negative,תגיד לי האם ראית משהו מעניין היום?,מה קרה לך?
negative,תגידי לי האם ראית משהו מעניין?,מה קרה לך?
negative,תומרי לי האם היה מעניין היום?,מה קרה לך?
negative,תומר לי האם היה מעניין היום?,מה קרה לך?
negative,תאמרי לי היה לך מעניין היום?,מה קרה לך?
negative,תאמרי לי מה תעשי היום?,מה קרה לך?
negative,תומר לי מה תעשה היום?,מה קרה לך?
negative,תומרי לי איך היה היום?,מה קרה לך?
negative,תגידי לי איך היה היום?,מה קרה לך?
negative,האם אתה חושב על משהו מעניין לעשות?,מה קרה לך?
negative,תגידי לי האם את רוצה לעשות משהו מעניין?,מה קרה לך?
